league,date,home,away,probh,probd,proba,probOver,probUnder
E1,28/09/2021 00:00:00,Hull,Blackpool,0.22268984,0.2913949,0.48591527,0.4744697,0.52553034
E1,28/09/2021 00:00:00,Preston,Stoke,0.4373521,0.26595822,0.2966897,0.48433432,0.51566565
E1,29/09/2021 00:00:00,Barnsley,Nottm Forest,0.41804126,0.310041,0.27191773,0.4541784,0.5458216
E1,29/09/2021 00:00:00,Fulham,Swansea,0.54365104,0.26154795,0.19480103,0.49183318,0.5081668
E1,29/09/2021 00:00:00,Millwall,Bristol City,0.5507761,0.24447536,0.20474854,0.50103337,0.49896663
E2,28/09/2021 00:00:00,Burton,Portsmouth,0.39275017,0.27615944,0.3310904,0.48735708,0.5126429
E2,28/09/2021 00:00:00,Charlton,Bolton,0.27065203,0.25885954,0.47048843,0.48395225,0.5160478
E2,28/09/2021 00:00:00,Milton Keynes Dons,Fleetwood Town,0.50924754,0.24063773,0.2501147,0.49606985,0.50393015
E2,28/09/2021 00:00:00,Oxford,Accrington,0.567072,0.24071819,0.19220981,0.49629605,0.50370395
E2,28/09/2021 00:00:00,Rotherham,AFC Wimbledon,0.374288,0.2668996,0.35881242,0.4866236,0.5133764
E2,28/09/2021 00:00:00,Sunderland,Cheltenham,0.4287192,0.24641384,0.32486695,0.49288872,0.50711125
EC,28/09/2021 00:00:00,Woking,Chesterfield,0.4216801,0.2852154,0.2931045,0.5048965,0.49510348
